timeframe,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_group_return_up,161,0.33540373,2.08927914,21,0.33333333,2.02776051,0.17194753,32,0.31250000,2.59323102,0.17952542
h4,3,ichimoku_cloud_bull+adx25+atr_expand+mtf_volatility,318,0.33333333,2.07638236,70,0.42857143,2.60712066,0.31935309,53,0.26415094,2.19201415,0.16437354
h4,3,trend_bull+adx25+atr_expand+mtf_volatility,222,0.33333333,2.07638236,45,0.33333333,2.02776051,0.21358875,19,0.15789474,1.31026409,0.05520472
h4,3,adx_up3+atr_expand+mtf_volatility+cross_target_relative_up,187,0.33155080,2.06527871,33,0.45454545,2.76512797,0.29842939,33,0.18181818,1.50878896,0.08610768
h4,3,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,0.32926829,2.05106062,23,0.30434783,1.85143351,0.15604024,19,0.21052632,1.74701879,0.08507677
h4,3,trend_bull+atr_expand+mtf_volatility+cross_group_bull,155,0.32903226,2.04959033,27,0.37037037,2.25306724,0.21532513,19,0.21052632,1.74701879,0.08507677
h4,3,adx25+atr_expand+mtf_volatility,697,0.32568149,2.02871791,112,0.35714286,2.17260055,0.27449589,83,0.24096386,1.99959982,0.16174744
h4,3,pin_bull+mtf_adx25+cross_group_return_up,281,0.32384342,2.01726827,33,0.30303030,1.84341865,0.17375531,69,0.23188406,1.92425258,0.14807904
h4,3,pin_bull+mtf_adx25+cross_group_bull,237,0.32067511,1.99753239,30,0.30000000,1.82498446,0.16664748,62,0.24193548,2.00766273,0.15245896
h4,3,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,0.32044199,1.99608028,112,0.36607143,2.22691556,0.28267618,80,0.20000000,1.65966785,0.12702844
h4,3,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_volatility,201,0.31840796,1.98341001,39,0.43589744,2.65168683,0.29304754,45,0.28888889,2.39729801,0.17730082
h4,3,trend_bull+adx25+pin_bull+mtf_trend_bull,198,0.31818182,1.98200134,45,0.20000000,1.21665631,0.10896127,29,0.10344828,0.85844889,0.03581489
h4,3,sma_stack_bull+adx25+pin_bull,208,0.31730769,1.97655628,52,0.19230769,1.16986183,0.10796046,26,0.11538462,0.95750068,0.04003245
h4,3,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,0.31578947,1.96709907,57,0.33333333,2.02776051,0.22493806,35,0.25714286,2.13385867,0.14163027
h4,3,sma_stack_bull+adx25+pin_bull+mtf_trend_bull,175,0.31428571,1.95773194,39,0.15384615,0.93588947,0.07247472,24,0.08333333,0.69152827,0.02315882
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,0.31397459,1.95579391,137,0.26277372,1.59852654,0.19626676,146,0.21232877,1.76197615,0.15380968
h4,3,trend_bull+adx25+pin_bull,236,0.31355932,1.95320713,61,0.22950820,1.39616298,0.14193230,31,0.12903226,1.07075345,0.05134284
h4,3,ichimoku_cloud_bull+pin_bull+elliott_pullback_bull,150,0.31333333,1.95179941,42,0.45238095,2.75196070,0.31223393,36,0.19444444,1.61356597,0.09753095
h4,3,sma_stack_bull+atr_expand+mtf_volatility,359,0.31197772,1.94335507,62,0.30645161,1.86423144,0.20581587,49,0.22448980,1.86289249,0.13024970
h4,3,pin_bull+mtf_trend_bull,829,0.30880579,1.92359668,203,0.25123153,1.52831211,0.19656420,199,0.21105528,1.75140829,0.16010604
h4,3,stoch_cross_up+atr_expand+mtf_volatility,270,0.30740741,1.91488595,37,0.40540541,2.46619522,0.26346518,38,0.42105263,3.49403759,0.27852501
h4,3,pin_bull+cross_target_relative_up,625,0.30560000,1.90362734,198,0.31313131,1.90486594,0.25260922,136,0.23529412,1.95255042,0.17188612
h4,3,volatility+horizontal_break_up+mtf_trend_bull+cross_group_bull,302,0.30463576,1.89762096,81,0.30864198,1.87755603,0.21863207,77,0.20779221,1.72433024,0.13215078
h4,3,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,0.30295567,1.88715539,119,0.38655462,2.35152060,0.30391615,99,0.21212121,1.76025378,0.14313535
h4,3,trend_bull+atr_expand+mtf_volatility,393,0.30025445,1.87032915,69,0.30434783,1.85143351,0.20849627,56,0.25000000,2.07458482,0.15517055
h4,3,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,0.30000000,1.86874412,106,0.38679245,2.35296739,0.29958884,83,0.21686747,1.79963984,0.14181562
h4,3,sma_stack_bull+pin_bull+cross_group_return_up,291,0.29896907,1.86232232,80,0.22500000,1.36873835,0.14733207,47,0.19148936,1.58904369,0.10415933
h4,3,adx25+atr_expand+horizontal_resistance_near+cross_group_bull,171,0.29824561,1.85781579,30,0.20000000,1.21665631,0.09505107,24,0.16666667,1.38305654,0.06678676
h4,3,adx25+atr_expand+horizontal_resistance_near+cross_group_return_up,198,0.29797980,1.85615998,33,0.27272727,1.65907678,0.15067441,28,0.14285714,1.18547704,0.05699005
h4,3,pin_bull+cross_group_return_up,685,0.29635036,1.84601001,191,0.34031414,2.07022670,0.27685826,162,0.20987654,1.74162676,0.15425646
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,0.29616725,1.84486934,72,0.31944444,1.94327049,0.22325610,85,0.23529412,1.95255042,0.15779539
h4,3,pin_bull+elliott_pullback_bull,247,0.29554656,1.84100298,58,0.44827586,2.72698828,0.32749854,49,0.18367347,1.52418476,0.09976341
h4,3,adx25+horizontal_break_up+mtf_trend_bull+cross_group_bull,613,0.29526917,1.83927507,133,0.21052632,1.28069085,0.14986446,87,0.13793103,1.14459852,0.08069778
h4,3,pin_bull+cross_group_bull,569,0.29525483,1.83918578,173,0.33526012,2.03948167,0.26916858,146,0.21917808,1.81881409,0.15974945
h4,3,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,0.29525483,1.83918578,100,0.39000000,2.37247980,0.30016874,93,0.27956989,2.31996582,0.19850339
h4,3,pin_bull+elliott_pullback_bull+mtf_trend_bull,156,0.29487179,1.83679978,25,0.36000000,2.18998135,0.20247881,39,0.20512821,1.70222344,0.10779718
h4,3,adx25+volatility+horizontal_break_up+mtf_trend_bull,364,0.29395604,1.83109543,82,0.31707317,1.92884537,0.22648066,54,0.20370370,1.69040244,0.11774054
h4,3,adx25+atr_expand+horizontal_resistance_near+mtf_trend_bull,177,0.29378531,1.83003191,26,0.15384615,0.93588947,0.06150034,13,0.15384615,1.27666758,0.04325818
h4,3,atr_expand+mtf_volatility,1172,0.29266212,1.82303536,192,0.34375000,2.09112803,0.28022437,172,0.25000000,2.07458482,0.19122773
h4,3,volatility+horizontal_break_up+mtf_trend_bull+cross_group_return_up,339,0.29203540,1.81913144,93,0.31182796,1.89693725,0.22672869,91,0.20879121,1.73262029,0.13794081
h4,3,sma_stack_bull+pin_bull+mtf_adx25,230,0.29130435,1.81457762,36,0.16666667,1.01388026,0.07870448,27,0.29629630,2.45876719,0.15853040
h4,3,sma_stack_bull+volatility+retest_up+mtf_volatility,244,0.29098361,1.81257968,45,0.26666667,1.62220841,0.15964904,40,0.17500000,1.45220937,0.08745414
h4,3,ichimoku_cloud_bull+triangle_breakout_up,165,0.29090909,1.81211551,27,0.25925926,1.57714707,0.13170375,13,0.07692308,0.63833379,0.01371042
h4,3,ichimoku_cloud_bull+triangle_breakout_up+retest_up,165,0.29090909,1.81211551,25,0.20000000,1.21665631,0.08860585,13,0.07692308,0.63833379,0.01371042
h4,3,sma_stack_bull+volatility+horizontal_break_up+mtf_volatility,227,0.29074890,1.81111765,45,0.28888889,1.75739245,0.17730082,39,0.15384615,1.27666758,0.07247472
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,0.29045643,1.80929583,67,0.29850746,1.81590494,0.20231511,73,0.23287671,1.93248997,0.15078882
h4,3,pin_bull+mtf_trend_bull+cross_group_return_up,435,0.28965517,1.80430467,108,0.28703704,1.74612711,0.21019368,113,0.22123894,1.83591577,0.15458478
h4,3,sma_stack_bull+pin_bull+cross_group_bull,235,0.28936170,1.80247660,73,0.20547945,1.24998936,0.12866972,45,0.17777778,1.47526031,0.09294390
h4,3,sma_stack_bull+atr_expand+mtf_volatility+cross_target_relative_up,166,0.28915663,1.80119915,27,0.33333333,2.02776051,0.18643261,22,0.22727273,1.88598620,0.10123040
h4,3,trend_bull+pin_bull+cross_group_return_up,354,0.28813559,1.79483899,106,0.26415094,1.60690456,0.18953868,65,0.18461538,1.53200109,0.10888872
h4,3,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_target_relative_up,254,0.28740157,1.79026668,57,0.28070175,1.70758780,0.18079399,65,0.21538462,1.78733461,0.13286758
h4,3,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_return_up,237,0.28691983,1.78726583,66,0.22727273,1.38256399,0.14285230,47,0.19148936,1.58904369,0.10415933
h4,3,trend_bull+pin_bull,644,0.28571429,1.77975631,190,0.24736842,1.50481175,0.19142711,117,0.16239316,1.34759356,0.10649806
h4,3,trend_bull+atr_expand+mtf_volatility+cross_target_relative_up,189,0.28571429,1.77975631,38,0.28947368,1.76094992,0.17003278,23,0.21739130,1.80398680,0.09663978
h4,3,adx25+horizontal_break_up+mtf_trend_bull+cross_group_return_up,706,0.28470255,1.77345405,154,0.21428571,1.30356033,0.15684996,95,0.13684211,1.13556222,0.08174794
h4,3,trend_bull+pin_bull+mtf_adx25,260,0.28461538,1.77291109,40,0.25000000,1.52082039,0.14187119,33,0.30303030,2.51464826,0.17375531
h4,3,trend_bull+pin_bull+mtf_trend_bull+cross_group_return_up,292,0.28424658,1.77061372,83,0.26506024,1.61243607,0.18204414,62,0.19354839,1.60613018,0.11433808
h4,3,adx_up3+atr_expand+mtf_adx25+cross_target_relative_up,271,0.28413284,1.76990526,33,0.12121212,0.73736746,0.04816161,44,0.20454545,1.69738758,0.11153253
h4,3,trend_bull+volatility+horizontal_break_up+mtf_volatility,257,0.28404669,1.76936862,49,0.28571429,1.73808044,0.17849594,45,0.17777778,1.47526031,0.09294390
h4,3,pin_bull+mtf_trend_bull+cross_group_bull,363,0.28374656,1.76749903,99,0.26262626,1.59762950,0.18598150,104,0.22115385,1.83520965,0.15212942
h4,3,ichimoku_cloud_bull+adx25+horizontal_break_up+mtf_trend_bull,765,0.28366013,1.76696067,122,0.20491803,1.24657409,0.14282958,90,0.11111111,0.92203770,0.06148319
h4,3,volatility+horizontal_resistance_near+mtf_trend_bull+cross_group_bull,441,0.28344671,1.76563126,120,0.25000000,1.52082039,0.18109822,100,0.25000000,2.07458482,0.17545211
h4,3,adx25+elliott_pullback_bull+mtf_volatility+cross_group_bull,988,0.28340081,1.76534532,212,0.22169811,1.34865204,0.17101424,201,0.20398010,1.69269607,0.15407123
h4,3,ichimoku_cloud_bull+adx_up3+atr_expand+mtf_trend_bull,526,0.28326996,1.76453025,74,0.17567568,1.06868460,0.10564209,143,0.25874126,2.14712275,0.19393814
h4,3,adx25+volatility+elliott_pullback_bull+mtf_volatility,992,0.28326613,1.76450638,180,0.24444444,1.48702438,0.18743272,162,0.17283951,1.43428086,0.12237447
h4,3,trend_bull+volatility+retest_up+mtf_volatility,290,0.28275862,1.76134503,53,0.26415094,1.60690456,0.16437354,48,0.18750000,1.55593861,0.10191391
h4,3,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,0.28275862,1.76134503,54,0.37037037,2.25306724,0.25423375,28,0.21428571,1.77821556,0.10212460
h4,3,sma_stack_bull+pin_bull,538,0.28252788,1.75990772,155,0.23225806,1.41289120,0.17274592,93,0.17204301,1.42767127,0.10876564
h4,3,adx25+horizontal_break_up+mtf_volatility+cross_group_return_up,363,0.28099174,1.75033885,50,0.24000000,1.45998757,0.14297391,52,0.23076923,1.91500137,0.13724261
h4,3,trend_bull+pin_bull+cross_group_bull,292,0.28082192,1.74928103,96,0.25000000,1.52082039,0.17413968,59,0.16949153,1.40649818,0.09475839
h4,3,adx25+horizontal_resistance_near+mtf_trend_bull+cross_group_bull,905,0.28066298,1.74829100,206,0.18446602,1.12215873,0.13744686,126,0.15873016,1.31719671,0.10516626
h4,3,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_bull,193,0.27979275,1.74287016,62,0.20967742,1.27552677,0.12683989,45,0.17777778,1.47526031,0.09294390
h4,3,sma_stack_bull+adx25+elliott_wave5_bull+mtf_trend_bull,738,0.27913279,1.73875921,164,0.20121951,1.22407494,0.14702125,102,0.11764706,0.97627521,0.06859447
h4,3,sma_stack_bull+adx25+horizontal_break_up+mtf_trend_bull,848,0.27830189,1.73358338,186,0.22043011,1.34093840,0.16684861,103,0.11650485,0.96679681,0.06791546
h4,3,atr_expand+mtf_volatility+cross_target_relative_up,514,0.27821012,1.73301173,88,0.36363636,2.21210238,0.27079300,70,0.24285714,2.01531096,0.15751861
h4,3,trend_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,0.27800830,1.73175458,78,0.25641026,1.55981578,0.17255438,58,0.17241379,1.43074815,0.09644293
h4,6,volatility+pin_bull+mtf_volatility,246,0.63414634,2.16837224,41,0.51219512,1.80792133,0.36484509,36,0.47222222,2.04991037,0.31986042
h4,6,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,0.62127660,2.12436600,52,0.50000000,1.76487559,0.36885863,36,0.44444444,1.92932740,0.29541269
h4,6,pin_bull+mtf_volatility,488,0.58401639,1.99696009,111,0.54954955,1.93977317,0.45688031,86,0.44186047,1.91811038,0.34162738
h4,6,ichimoku_cloud_bull+volatility+pin_bull,243,0.56790123,1.94185662,66,0.45454545,1.60443235,0.34024125,59,0.50847458,2.20728135,0.38435143
h4,6,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,0.56521739,1.93267961,37,0.37837838,1.33558152,0.24063999,52,0.51923077,2.25397384,0.38685683
h4,6,pin_bull+mtf_volatility+cross_group_bull,211,0.55450237,1.89604113,45,0.42222222,1.49033938,0.28968702,47,0.38297872,1.66250553,0.25790681
h4,6,pin_bull+mtf_volatility+cross_group_return_up,250,0.55200000,1.88748464,49,0.44897959,1.58478624,0.31852841,53,0.39622642,1.72001358,0.27589407
h4,6,volatility+pin_bull+mtf_trend_bull,299,0.55183946,1.88693571,58,0.32758621,1.15629780,0.22083291,69,0.50724638,2.20194975,0.39205268
h4,6,ichimoku_cloud_bull+volatility+pin_bull+mtf_price200_bull,209,0.55023923,1.88146395,40,0.37500000,1.32365669,0.24222979,52,0.50000000,2.17049333,0.36885863
h4,6,volatility+pin_bull,479,0.54906054,1.87743359,119,0.44537815,1.57207405,0.35917986,82,0.46341463,2.01167674,0.35955096
h4,6,price200_bull+pin_bull+mtf_volatility,232,0.54741379,1.87180276,44,0.50000000,1.76487559,0.35831761,23,0.47826087,2.07612405,0.29237157
h4,6,pin_bull+mtf_volatility+cross_target_relative_up,234,0.53846154,1.84119181,56,0.44642857,1.57578177,0.32386721,44,0.47727273,2.07183454,0.33754991
h4,6,volatility+pin_bull+mtf_price200_bull,352,0.53125000,1.81653300,64,0.34375000,1.21335197,0.23923142,71,0.46478873,2.01764169,0.35358448
h4,6,volatility+pin_bull+cross_group_bull,202,0.52970297,1.81124315,57,0.40350877,1.42428556,0.28617516,40,0.47500000,2.06196866,0.32935470
h4,6,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,0.51829268,1.77222731,23,0.47826087,1.68814186,0.29237157,19,0.31578947,1.37083789,0.15364379
h4,6,sma_stack_bull+volatility+pin_bull,157,0.51592357,1.76412646,36,0.25000000,0.88243779,0.13750478,19,0.42105263,1.82778386,0.23141891
h4,6,volatility+pin_bull+mtf_price200_bull+cross_group_return_up,174,0.51149425,1.74898106,39,0.38461538,1.35759660,0.24891373,34,0.52941176,2.29816941,0.36736713
h4,6,volatility+pin_bull+cross_target_relative_up,204,0.50490196,1.72643966,64,0.45312500,1.59941850,0.33729448,46,0.47826087,2.07612405,0.34124689
h4,6,volatility+pin_bull+cross_group_return_up,235,0.50212766,1.71695334,61,0.42622951,1.50448411,0.31015222,43,0.48837209,2.12001674,0.34617448
h4,6,sma_stack_bull+atr_expand+mtf_volatility,359,0.50139276,1.71444045,62,0.45161290,1.59408117,0.33419713,49,0.30612245,1.32887347,0.19515491
h4,6,price200_bull+volatility+pin_bull+mtf_trend_bull,213,0.49765258,1.70165146,51,0.33333333,1.17658372,0.21969932,28,0.42857143,1.86042285,0.26508547
h4,6,pin_bull+elliott_pullback_bull+mtf_trend_bull,156,0.49358974,1.68775916,25,0.60000000,2.11785070,0.40739457,39,0.33333333,1.44699555,0.20632956
h4,6,volatility+pin_bull+mtf_price200_bull+cross_target_relative_up,152,0.49342105,1.68718235,33,0.45454545,1.60443235,0.29842939,39,0.46153846,2.00353230,0.31566886
h4,6,price200_bull+atr_expand+mtf_volatility+cross_group_bull,230,0.49130435,1.67994458,40,0.45000000,1.58838803,0.30705308,38,0.36842105,1.59931087,0.23384219
h4,6,price200_bull+atr_expand+mtf_volatility+cross_group_return_up,269,0.49070632,1.67789971,46,0.43478261,1.53467442,0.30209263,44,0.36363636,1.57854060,0.23783530
h4,6,ichimoku_cloud_bull+pin_bull,793,0.49054224,1.67733868,231,0.45021645,1.58915204,0.38739480,172,0.42441860,1.84239550,0.35299811
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_return_up,287,0.48432056,1.65606451,72,0.43055556,1.51975398,0.32257906,85,0.45882353,1.99174682,0.35697132
h4,6,ichimoku_cloud_bull+pin_bull+cross_target_relative_up,362,0.48342541,1.65300370,112,0.47321429,1.67032868,0.38317766,80,0.40000000,1.73639466,0.29961828
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull,665,0.48270677,1.65054639,156,0.39102564,1.38022321,0.31794989,163,0.42331288,1.83759558,0.35008615
h4,6,price200_bull+volatility+pin_bull,253,0.48221344,1.64885952,69,0.37681159,1.33005117,0.27183529,28,0.42857143,1.86042285,0.26508547
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_group_bull,241,0.48132780,1.64583121,67,0.40298507,1.42243704,0.29390493,73,0.45205479,1.96236383,0.34314656
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull,551,0.48094374,1.64451797,137,0.40145985,1.41705339,0.32314666,146,0.43835616,1.90289826,0.36047405
h4,6,pin_bull+elliott_pullback_bull+mtf_price200_bull,183,0.48087432,1.64428059,30,0.53333333,1.88253396,0.36142300,46,0.30434783,1.32116985,0.19079841
h4,6,ichimoku_cloud_bull+pin_bull+elliott_pullback_bull,150,0.48000000,1.64129099,42,0.61904762,2.18508406,0.46814040,36,0.36111111,1.56757852,0.22475593
h4,6,atr_expand+elliott_impulse_bull+mtf_volatility,171,0.47953216,1.63969129,30,0.33333333,1.17658372,0.19230498,23,0.34782609,1.50990840,0.18811276
h4,6,pin_bull+elliott_pullback_bull,247,0.47368421,1.61969505,58,0.56896552,2.00830670,0.44118105,49,0.32653061,1.41746503,0.21207497
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_group_return_up,340,0.47352941,1.61916574,82,0.41463415,1.46355536,0.31416560,93,0.43010753,1.86709104,0.33423523
h4,6,pin_bull+mtf_price200_bull,1027,0.47322298,1.61811794,237,0.38818565,1.37019877,0.32839555,250,0.40000000,1.73639466,0.34122832
h4,6,pin_bull+cross_target_relative_up,625,0.47200000,1.61393614,198,0.41919192,1.47964317,0.35264094,136,0.39705882,1.72362706,0.31874216
h4,6,price200_bull+volatility+pin_bull+mtf_price200_bull,238,0.47058824,1.60910881,56,0.32142857,1.13456288,0.21400995,28,0.42857143,1.86042285,0.26508547
h4,6,ichimoku_cloud_bull+pin_bull+cross_group_return_up,406,0.47044335,1.60861340,119,0.48739496,1.72038292,0.39939736,99,0.43434343,1.88547905,0.34096640
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_target_relative_up,309,0.46925566,1.60455227,68,0.41176471,1.45342695,0.30258020,73,0.38356164,1.66503598,0.28050610
h4,6,pin_bull+mtf_trend_bull,829,0.46924005,1.60449888,203,0.38423645,1.35625907,0.32006346,199,0.40703518,1.76693427,0.34116452
h4,6,pin_bull+mtf_trend_bull+cross_group_bull,363,0.46556474,1.59193169,99,0.35353535,1.24789183,0.26644853,104,0.41346154,1.79483102,0.32354912
h4,6,ichimoku_cloud_bull+pin_bull+mtf_price200_bull+cross_group_bull,282,0.46453901,1.58842435,74,0.39189189,1.38328086,0.28864920,78,0.42307692,1.83657128,0.31959060
h4,6,price200_bull+atr_expand+mtf_volatility,539,0.46382189,1.58597228,94,0.44680851,1.57712286,0.35036370,90,0.32222222,1.39876237,0.23466771
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,0.46341463,1.58457971,37,0.48648649,1.71717625,0.33446404,30,0.26666667,1.15759644,0.14182663
h4,6,pin_bull+mtf_price200_bull+cross_group_bull,437,0.46224256,1.58057199,108,0.34259259,1.20926661,0.25987964,130,0.39230769,1.70300246,0.31262137
h4,6,pin_bull+mtf_trend_bull+cross_group_return_up,435,0.46206897,1.57997839,108,0.38888889,1.37268101,0.30227649,113,0.42477876,1.84395893,0.33758876
h4,6,ichimoku_cloud_bull+pin_bull+cross_group_bull,340,0.46176471,1.57893802,106,0.48113208,1.69827651,0.38835118,83,0.42168675,1.83053654,0.32123015
h4,6,pin_bull+mtf_price200_bull+cross_target_relative_up,475,0.46105263,1.57650319,112,0.36607143,1.29214105,0.28267618,122,0.38524590,1.67234732,0.30364995
h4,6,atr_expand+mtf_volatility,1172,0.46075085,1.57547130,192,0.46875000,1.65457086,0.39947015,172,0.37209302,1.61525085,0.30338948
h4,6,pin_bull+mtf_price200_bull+cross_group_return_up,530,0.46037736,1.57419419,120,0.37500000,1.32365669,0.29352430,144,0.40277778,1.74845296,0.32620473
h4,6,pin_bull+cross_group_return_up,685,0.45985401,1.57240469,191,0.42931937,1.51539056,0.36119742,162,0.38888889,1.68816148,0.31722302
h4,6,atr_expand+mtf_volatility+cross_target_relative_up,514,0.45719844,1.56332434,88,0.50000000,1.76487559,0.39774167,70,0.35714286,1.55035238,0.25503339
h4,6,pin_bull+cross_group_bull,569,0.45694200,1.56244749,173,0.41618497,1.46902939,0.34533263,146,0.37671233,1.63530319,0.30222305
h4,6,ichimoku_cloud_bull+pin_bull+mtf_trend_bull+cross_target_relative_up,254,0.45669291,1.56159576,57,0.42105263,1.48621102,0.30187597,65,0.41538462,1.80317907,0.30360242
h4,6,price200_bull+pin_bull+elliott_pullback_bull,167,0.45508982,1.55611421,35,0.51428571,1.81530060,0.35568805,35,0.37142857,1.61236647,0.23165820
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,0.45454545,1.55425283,42,0.45238095,1.59679220,0.31223393,36,0.27777778,1.20582963,0.15848338
h4,6,price200_bull+pin_bull+elliott_pullback_bull+mtf_price200_bull,154,0.45454545,1.55425283,28,0.53571429,1.89093813,0.35812689,34,0.38235294,1.65978902,0.23900183
h4,6,sma_stack_bull+pin_bull+cross_group_return_up,291,0.45360825,1.55104819,80,0.28750000,1.01480346,0.19986924,47,0.40425532,1.75486695,0.27640035
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,0.45342707,1.55042866,100,0.51000000,1.80017310,0.41348012,93,0.39784946,1.72705921,0.30433423
h4,6,sma_stack_bull+volatility+engulf_bull+mtf_volatility,212,0.45283019,1.54838773,32,0.31250000,1.10304724,0.17952542,26,0.46153846,2.00353230,0.28755854
h4,6,sma_stack_bull+atr_expand+mtf_volatility+cross_target_relative_up,166,0.45180723,1.54488986,27,0.44444444,1.56877830,0.27585858,22,0.31818182,1.38122303,0.16360593
h4,6,sma_stack_bull+pin_bull+cross_group_bull,235,0.45106383,1.54234792,73,0.26027397,0.91870236,0.17342183,45,0.37777778,1.63992829,0.25108085
h4,6,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_bull,193,0.45077720,1.54136783,62,0.24193548,0.85397206,0.15245896,45,0.37777778,1.63992829,0.25108085
h4,6,price200_bull+atr_expand+mtf_volatility+cross_target_relative_up,278,0.44964029,1.53748032,53,0.45283019,1.59837789,0.32657579,38,0.21052632,0.91389193,0.11074792
h4,6,pin_bull+mtf_trend_bull+cross_target_relative_up,373,0.44504021,1.52175103,91,0.36263736,1.28001966,0.27128512,95,0.38947368,1.69070007,0.29754095
h4,6,sma_stack_bull+pin_bull+mtf_trend_bull+cross_group_return_up,237,0.44303797,1.51490466,66,0.27272727,0.96265941,0.18003345,47,0.40425532,1.75486695,0.27640035
h4,6,pin_bull+elliott_pullback_bull+cross_group_return_up,163,0.44171779,1.51039048,39,0.64102564,2.26266101,0.48418149,31,0.32258065,1.40031828,0.18569427
h4,6,sma_stack_bull+pin_bull,538,0.44052045,1.50629633,155,0.34838710,1.22971976,0.27786754,93,0.35483871,1.54035010,0.26512875
h4,6,price200_bull+pin_bull+mtf_trend_bull+cross_group_bull,309,0.44012945,1.50495937,94,0.35106383,1.23916796,0.26215483,78,0.38461538,1.66961025,0.28449043
h4,6,atr_expand+mtf_volatility+cross_group_return_up,505,0.43960396,1.50316254,89,0.41573034,1.46742464,0.31890529,77,0.29870130,1.29665835,0.20803895
h4,6,price200_bull+pin_bull+mtf_trend_bull+cross_group_return_up,374,0.43850267,1.49939685,102,0.39215686,1.38421615,0.30297518,86,0.39534884,1.71620403,0.29862427
h4,6,sma_stack_bull+pin_bull+mtf_price200_bull+cross_group_return_up,274,0.43795620,1.49752827,72,0.27777778,0.98048644,0.18760286,47,0.40425532,1.75486695,0.27640035
h4,6,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_target_relative_up,256,0.43750000,1.49596835,48,0.41666667,1.47072966,0.28849668,33,0.45454545,1.97317575,0.29842939
h4,6,price200_bull+pin_bull+mtf_price200_bull+cross_group_return_up,433,0.43418014,1.48461656,115,0.37391304,1.31982000,0.29090380,97,0.38144330,1.65584027,0.29104665
h4,6,price200_bull+pin_bull,841,0.43400713,1.48402500,259,0.39768340,1.40372344,0.33999250,152,0.36184211,1.57075175,0.28972589
h4,6,price200_bull+pin_bull+cross_group_return_up,468,0.43376068,1.48318229,140,0.40000000,1.41190047,0.32256681,98,0.37755102,1.63894394,0.28790545
h4,6,stoch_recover_up+volatility+engulf_bull+mtf_volatility,150,0.43333333,1.48172103,21,0.71428571,2.52125084,0.50043619,25,0.44000000,1.91003413,0.26665639
h4,6,price200_bull+pin_bull+mtf_trend_bull,670,0.43283582,1.48001986,186,0.37634409,1.32840098,0.30988525,131,0.36641221,1.59059053,0.28880383
h4,6,price200_bull+pin_bull+mtf_price200_bull,781,0.43277849,1.47982382,219,0.37442922,1.32164199,0.31301322,150,0.36666667,1.59169511,0.29377445
h4,6,ichimoku_cloud_bull+volatility+engulf_bull+mtf_volatility,352,0.43181818,1.47654019,60,0.50000000,1.76487559,0.37735024,52,0.32692308,1.41916872,0.21522074
h4,6,sma_stack_bull+pin_bull+mtf_price200_bull+cross_group_bull,220,0.43181818,1.47654019,66,0.24242424,0.85569725,0.15509185,45,0.37777778,1.63992829,0.25108085
h4,6,atr_expand+mtf_volatility+cross_group_bull,422,0.43127962,1.47469866,79,0.40506329,1.42977263,0.30366278,71,0.28169014,1.22281314,0.19037091
h4,6,price200_bull+pin_bull+cross_group_bull,387,0.42894057,1.46670060,125,0.36800000,1.29894843,0.28856997,87,0.36781609,1.59668475,0.27408689
h4,6,sma_stack_bull+pin_bull+mtf_trend_bull,436,0.42889908,1.46655875,118,0.31355932,1.10678638,0.23684991,89,0.35955056,1.56080419,0.26757787
